"date","region","travel_rate","total_flights"
2020-09-16,"Wisconsin",0.0261044597008261,24
2020-09-19,"Alabama",0.0287822608928343,11
2020-09-19,"Alaska",0.0344122540498902,32
2020-09-19,"Arizona",0.0323672726962195,204
2020-09-19,"Arkansas",0.0326519002940283,7
2020-09-19,"California",0.0217590420365572,336
2020-09-19,"Colorado",0.0342200424314783,301
2020-09-19,"Connecticut",0.0208862735356614,12
2020-09-19,"Florida",0.0345081096132603,321
2020-09-19,"Georgia",0.0412651420494648,506
2020-09-19,"Hawaii",0.0319701461819693,21
2020-09-19,"Idaho",0.040345530056022,14
2020-09-19,"Illinois",0.0227905020960378,300
2020-09-19,"Indiana",0.0259788170307541,31
2020-09-19,"Iowa",0.0295259282511823,3
2020-09-19,"Kansas",0.0334196608568692,6
2020-09-19,"Kentucky",0.0246446892663607,20
2020-09-19,"Louisiana",0.030037901545712,42
2020-09-19,"Maine",0.0293746822086242,6
2020-09-19,"Maryland",0.0323570054366154,153
2020-09-19,"Massachusetts",0.0211711591468018,66
2020-09-19,"Michigan",0.0261021636607831,92
2020-09-19,"Minnesota",0.0275432171581551,119
2020-09-19,"Mississippi",0.0324991142928144,1
2020-09-19,"Missouri",0.0307965287990041,64
2020-09-19,"Montana",0.0462352904088737,9
2020-09-19,"Nebraska",0.0311326617244186,21
2020-09-19,"Nevada",0.0453079191634634,169
2020-09-19,"New Hampshire",0.0292736357225382,5
2020-09-19,"New Jersey",0.0228681458596212,66
2020-09-19,"New Mexico",0.0417498794443856,18
2020-09-19,"New York",0.0182319303884438,114
2020-09-19,"North Carolina",0.0341180102115801,186
2020-09-19,"North Dakota",0.0500250180378671,1
2020-09-19,"Ohio",0.0226396923745781,22
2020-09-19,"Oklahoma",0.028338653018571,17
2020-09-19,"Oregon",0.0295298233389946,46
2020-09-19,"Pennsylvania",0.0222293377107786,48
2020-09-19,"Rhode Island",0.0239075227346969,9
2020-09-19,"South Carolina",0.0379040422316725,16
2020-09-19,"Tennessee",0.032817424339861,107
2020-09-19,"Texas",0.0315929407636429,427
2020-09-19,"Utah",0.0346886122524836,143
2020-09-19,"Washington",0.0298795749111337,100
2020-09-19,"Washington D. C.",0.0486102350616038,89
2020-09-19,"Wisconsin",0.02509284780172,25
2020-09-20,"Alabama",0.0288220667962946,11
2020-09-20,"Alaska",0.0342860198831331,33
2020-09-20,"Arizona",0.0330371774003497,208
2020-09-20,"Arkansas",0.03093717278608,7
2020-09-20,"California",0.0216529173616269,345
2020-09-20,"Colorado",0.0335466746615352,306
2020-09-20,"Connecticut",0.0208663411907152,12
2020-09-20,"Florida",0.0347988870152299,330
2020-09-20,"Georgia",0.0412511274003744,517
2020-09-20,"Hawaii",0.0319397821237402,20
2020-09-20,"Idaho",0.0417313432049808,14
2020-09-20,"Illinois",0.0227464774254583,308
2020-09-20,"Indiana",0.0261138338853533,30
2020-09-20,"Iowa",0.0294225603720191,3
2020-09-20,"Kansas",0.032481396741619,6
2020-09-20,"Kentucky",0.0250933764940239,20
2020-09-20,"Louisiana",0.0293460945076152,42
2020-09-20,"Maine",0.0291116859148676,6
2020-09-20,"Maryland",0.0328690308910156,154
2020-09-20,"Massachusetts",0.0214537914142558,74
2020-09-20,"Michigan",0.0263428073809805,94
2020-09-20,"Minnesota",0.0288595294380278,120
2020-09-20,"Mississippi",0.0323803857261025,1
2020-09-20,"Missouri",0.0304619763174595,64
2020-09-20,"Montana",0.0463833446360739,8
2020-09-20,"Nebraska",0.0305395968703403,21
2020-09-20,"Nevada",0.0475429929217632,172
2020-09-20,"New Hampshire",0.0320549900214403,5
2020-09-20,"New Jersey",0.0232494054444151,75
2020-09-20,"New Mexico",0.0442396455057303,18
2020-09-20,"New York",0.0181827102275265,126
2020-09-20,"North Carolina",0.0338781963070118,187
2020-09-20,"North Dakota",0.0500778946732133,1
2020-09-20,"Ohio",0.0225826036106838,23
2020-09-20,"Oklahoma",0.027899665421133,17
2020-09-20,"Oregon",0.0300206373781552,46
2020-09-20,"Pennsylvania",0.0226574786805424,72
2020-09-20,"Rhode Island",0.024824317630366,9
2020-09-20,"South Carolina",0.0390688560957042,17
2020-09-20,"Tennessee",0.0334498244721268,108
2020-09-20,"Texas",0.0314073480383633,435
2020-09-20,"Utah",0.0343730009378125,144
2020-09-20,"Washington",0.0297339840155875,102
2020-09-20,"Washington D. C.",0.0482187146001028,97
2020-09-20,"Wisconsin",0.0258341203610522,25
2020-09-21,"Alabama",0.0283976594189304,11
2020-09-21,"Alaska",0.035101148168398,34
2020-09-21,"Arizona",0.0321807058526379,209
2020-09-21,"Arkansas",0.0313027051099714,7
2020-09-21,"California",0.0219415133261033,343
2020-09-21,"Colorado",0.0340158180128797,305
2020-09-21,"Connecticut",0.0200863261024726,11
2020-09-21,"Florida",0.0346068304946729,328
2020-09-21,"Georgia",0.0410219990877499,515
2020-09-21,"Hawaii",0.0306910366699095,20
2020-09-21,"Idaho",0.0416658956878937,14
2020-09-21,"Illinois",0.0226532130211421,297
2020-09-21,"Indiana",0.0259278497300034,30
2020-09-21,"Iowa",0.0299827654561402,3
2020-09-21,"Kansas",0.0319886866093783,6
2020-09-21,"Kentucky",0.0244737162123336,20
2020-09-21,"Louisiana",0.0298579055297486,41
2020-09-21,"Maine",0.0286111396283632,6
2020-09-21,"Maryland",0.0322814928115822,154
2020-09-21,"Massachusetts",0.0216659465998445,75
2020-09-21,"Michigan",0.0255125728133855,94
2020-09-21,"Minnesota",0.029157068689221,119
2020-09-21,"Mississippi",0.0325836995602365,1
2020-09-21,"Missouri",0.0302727470298464,64
2020-09-21,"Montana",0.044229296746815,9
2020-09-21,"Nebraska",0.0306160857189303,21
2020-09-21,"Nevada",0.046833583206031,170
2020-09-21,"New Hampshire",0.0290275592065544,5
2020-09-21,"New Jersey",0.0229755130886912,72
2020-09-21,"New Mexico",0.0418231542714338,17
2020-09-21,"New York",0.0184237772096925,124
2020-09-21,"North Carolina",0.0332481137503966,187
2020-09-21,"North Dakota",0.0499335579314185,1
2020-09-21,"Ohio",0.0222663486932871,23
2020-09-21,"Oklahoma",0.0275407130084267,17
2020-09-21,"Oregon",0.0292283167349932,46
2020-09-21,"Pennsylvania",0.0225508677802759,73
2020-09-21,"Rhode Island",0.0258728789680961,9
2020-09-21,"South Carolina",0.0394538393690274,17
2020-09-21,"Tennessee",0.0323892775789391,107
2020-09-21,"Texas",0.0313089960513118,431
2020-09-21,"Utah",0.0348540564752902,143
2020-09-21,"Washington",0.0295570542462272,102
2020-09-21,"Washington D. C.",0.048015149284825,97
2020-09-21,"Wisconsin",0.0256519521890085,25
2020-09-22,"Alabama",0.0289684880980021,10
2020-09-22,"Alaska",0.0355647460028219,33
2020-09-22,"Arizona",0.0327510095133803,205
2020-09-22,"Arkansas",0.0319208494897777,7
2020-09-22,"California",0.0216336686015576,312
2020-09-22,"Colorado",0.0337114595563119,287
2020-09-22,"Connecticut",0.0206670882052646,11
2020-09-22,"Florida",0.0346971441496773,269
2020-09-22,"Georgia",0.041234435497267,454
2020-09-22,"Hawaii",0.0317587924308722,20
2020-09-22,"Idaho",0.0408980682448997,14
2020-09-22,"Illinois",0.0227368886624211,291
2020-09-22,"Indiana",0.0262770294018138,28
2020-09-22,"Iowa",0.0296607225330756,3
2020-09-22,"Kansas",0.0321034309367357,7
2020-09-22,"Kentucky",0.0242213335332957,17
2020-09-22,"Louisiana",0.0297171522786696,36
2020-09-22,"Maine",0.0286498651550717,6
2020-09-22,"Maryland",0.0323360790023777,152
2020-09-22,"Massachusetts",0.0215139048940483,64
2020-09-22,"Michigan",0.0253686879424177,85
2020-09-22,"Minnesota",0.0290854980056629,110
2020-09-22,"Missouri",0.030975753656199,63
2020-09-22,"Montana",0.0493668839189863,8
2020-09-22,"Nebraska",0.0312858905332589,18
2020-09-22,"Nevada",0.0473041924666223,161
2020-09-22,"New Hampshire",0.0296297916074435,5
2020-09-22,"New Jersey",0.0225840240891651,57
2020-09-22,"New Mexico",0.0435114602917208,17
2020-09-22,"New York",0.0181678185347169,109
2020-09-22,"North Carolina",0.0337888753058331,185
2020-09-22,"North Dakota",0.0504147187034948,1
2020-09-22,"Ohio",0.0223494490012007,20
2020-09-22,"Oklahoma",0.0280651214621471,16
2020-09-22,"Oregon",0.0295695622621467,42
2020-09-22,"Pennsylvania",0.0227468680996296,51
2020-09-22,"Rhode Island",0.0261719227211644,9
2020-09-22,"South Carolina",0.0391157472326173,15
2020-09-22,"Tennessee",0.0330402060215542,102
2020-09-22,"Texas",0.0311253537440421,369
2020-09-22,"Utah",0.0349724672631438,131
2020-09-22,"Washington",0.0296997642670259,93
2020-09-22,"Washington D. C.",0.0488720419198011,93
2020-09-22,"Wisconsin",0.0253446292730952,24
2020-09-23,"Alabama",0.0273887121017693,10
2020-09-23,"Alaska",0.0347394612320039,34
2020-09-23,"Arizona",0.0322118275965818,206
2020-09-23,"Arkansas",0.0315291467354177,7
2020-09-23,"California",0.0216248229790092,321
2020-09-23,"Colorado",0.0336501032480466,298
2020-09-23,"Connecticut",0.020194246486786,12
2020-09-23,"Florida",0.0346308098014302,284
2020-09-23,"Georgia",0.0397476877683418,459
2020-09-23,"Hawaii",0.0311820658668324,20
2020-09-23,"Idaho",0.0401060469314079,14
2020-09-23,"Illinois",0.0226447247208249,293
2020-09-23,"Indiana",0.0262665205829083,30
2020-09-23,"Iowa",0.0291105173017602,3
2020-09-23,"Kansas",0.0320646853538788,6
2020-09-23,"Kentucky",0.0239183832399741,18
2020-09-23,"Louisiana",0.0297873230774022,38
2020-09-23,"Maine",0.028889561484001,6
2020-09-23,"Maryland",0.0319073287618116,152
2020-09-23,"Massachusetts",0.0195352962225483,65
2020-09-23,"Michigan",0.0259946775066166,85
2020-09-23,"Minnesota",0.0289940753760181,108
2020-09-23,"Missouri",0.030221184609861,63
2020-09-23,"Montana",0.0454563977180114,9
2020-09-23,"Nebraska",0.0311165036273097,19
2020-09-23,"Nevada",0.0471456379710814,168
2020-09-23,"New Hampshire",0.0293211991935834,5
2020-09-23,"New Jersey",0.0229768396667297,58
2020-09-23,"New Mexico",0.0425694103497121,17
2020-09-23,"New York",0.0179524858998393,111
2020-09-23,"North Carolina",0.0331019739664433,186
2020-09-23,"North Dakota",0.0504793728596956,1
2020-09-23,"Ohio",0.0223786524207096,21
2020-09-23,"Oklahoma",0.028216354992007,16
2020-09-23,"Oregon",0.0299648433588033,45
2020-09-23,"Pennsylvania",0.0223521012653695,69
2020-09-23,"Rhode Island",0.0259174547416665,9
2020-09-23,"South Carolina",0.0391892905468534,15
2020-09-23,"Tennessee",0.0323632991746665,105
2020-09-23,"Texas",0.0313987555634682,421
2020-09-23,"Utah",0.03627344057921,132
2020-09-23,"Washington",0.0297689041744496,96
2020-09-23,"Washington D. C.",0.0466607733616081,95
2020-09-23,"Wisconsin",0.0250906362907863,24
2020-09-24,"Alabama",0.0279920754972925,11
