"","age_gp","sex","region","july1_2020","july1_2021"
"557","10","male","Arizona",46772,46018
"558","10","female","Arizona",44691,44114
"559","11","total","Arizona",94542,92137
"560","11","male","Arizona",48338,47095
"561","11","female","Arizona",46204,45042
"562","12","total","Arizona",99198,95276
"563","12","male","Arizona",50683,48658
"564","12","female","Arizona",48515,46618
"565","13","total","Arizona",99117,100003
"566","13","male","Arizona",50654,51156
"567","13","female","Arizona",48463,48847
"568","14","total","Arizona",96904,99585
"569","14","male","Arizona",49514,50914
"570","14","female","Arizona",47390,48671
"571","15","total","Arizona",95315,97615
"572","15","male","Arizona",48706,49892
"573","15","female","Arizona",46609,47723
"574","16","total","Arizona",94845,96036
"575","16","male","Arizona",48490,49115
"576","16","female","Arizona",46355,46921
"577","17","total","Arizona",92808,95860
"578","17","male","Arizona",47454,49100
"579","17","female","Arizona",45354,46760
"580","18","total","Arizona",95565,96232
"581","18","male","Arizona",48744,49113
"582","18","female","Arizona",46821,47119
"583","19","total","Arizona",98188,97309
"584","19","male","Arizona",50724,50330
"585","19","female","Arizona",47464,46979
"586","20","total","Arizona",96498,97368
"587","20","male","Arizona",49588,50119
"588","20","female","Arizona",46910,47249
"589","21","total","Arizona",95795,98614
"590","21","male","Arizona",49372,50809
"591","21","female","Arizona",46423,47805
"592","22","total","Arizona",96064,97801
"593","22","male","Arizona",49648,50337
"594","22","female","Arizona",46416,47464
"595","23","total","Arizona",97373,99540
"596","23","male","Arizona",50033,50994
"597","23","female","Arizona",47340,48546
"598","24","total","Arizona",96823,98568
"599","24","male","Arizona",49808,50758
"600","24","female","Arizona",47015,47810
"601","25","total","Arizona",97548,98472
"602","25","male","Arizona",50295,50665
"603","25","female","Arizona",47253,47807
"604","26","total","Arizona",98828,99156
"605","26","male","Arizona",51279,51325
"606","26","female","Arizona",47549,47831
"607","27","total","Arizona",99659,100405
"608","27","male","Arizona",51698,52102
"609","27","female","Arizona",47961,48303
"610","28","total","Arizona",101685,101157
"611","28","male","Arizona",52455,52469
"612","28","female","Arizona",49230,48688
"613","29","total","Arizona",102848,103480
"614","29","male","Arizona",53039,53394
"615","29","female","Arizona",49809,50086
"616","30","total","Arizona",102389,104456
"617","30","male","Arizona",52903,53984
"618","30","female","Arizona",49486,50472
"619","31","total","Arizona",97606,103542
"620","31","male","Arizona",50403,53465
"621","31","female","Arizona",47203,50077
"622","32","total","Arizona",95397,99180
"623","32","male","Arizona",49278,51211
"624","32","female","Arizona",46119,47969
"625","33","total","Arizona",93493,96438
"626","33","male","Arizona",48355,49785
"627","33","female","Arizona",45138,46653
"628","34","total","Arizona",93980,94806
"629","34","male","Arizona",48721,49183
"630","34","female","Arizona",45259,45623
"631","35","total","Arizona",93429,95089
"632","35","male","Arizona",48302,49222
"633","35","female","Arizona",45127,45867
"634","36","total","Arizona",91280,94566
"635","36","male","Arizona",47148,48870
"636","36","female","Arizona",44132,45696
"637","37","total","Arizona",92966,92107
"638","37","male","Arizona",47905,47578
"639","37","female","Arizona",45061,44529
"640","38","total","Arizona",93474,93985
"641","38","male","Arizona",47910,48385
"642","38","female","Arizona",45564,45600
"643","39","total","Arizona",92413,94144
"644","39","male","Arizona",47194,48108
"645","39","female","Arizona",45219,46036
"646","40","total","Arizona",92186,93394
"647","40","male","Arizona",47152,47649
"648","40","female","Arizona",45034,45745
"649","41","total","Arizona",87219,92628
"650","41","male","Arizona",44434,47388
"651","41","female","Arizona",42785,45240
"652","42","total","Arizona",85504,88046
"653","42","male","Arizona",43350,44691
"654","42","female","Arizona",42154,43355
"655","43","total","Arizona",84798,85769
"656","43","male","Arizona",42833,43493
"657","43","female","Arizona",41965,42276
"658","44","total","Arizona",82751,85464
"659","44","male","Arizona",41728,43083
"660","44","female","Arizona",41023,42381
"661","45","total","Arizona",84156,83063
"662","45","male","Arizona",42296,41780
"663","45","female","Arizona",41860,41283
"664","46","total","Arizona",82450,84663
"665","46","male","Arizona",41432,42470
"666","46","female","Arizona",41018,42193
"667","47","total","Arizona",81971,82768
"668","47","male","Arizona",41264,41588
"669","47","female","Arizona",40707,41180
"670","48","total","Arizona",85053,82359
"671","48","male","Arizona",42704,41333
"672","48","female","Arizona",42349,41026
"673","49","total","Arizona",89975,85667
"674","49","male","Arizona",45217,42817
"675","49","female","Arizona",44758,42850
"676","50","total","Arizona",88250,90658
"677","50","male","Arizona",44379,45504
"678","50","female","Arizona",43871,45154
"679","51","total","Arizona",84517,89014
"680","51","male","Arizona",42430,44484
"681","51","female","Arizona",42087,44530
"682","52","total","Arizona",82048,85134
"683","52","male","Arizona",41129,42643
"684","52","female","Arizona",40919,42491
"685","53","total","Arizona",81352,82506
"686","53","male","Arizona",40494,41290
"687","53","female","Arizona",40858,41216
"688","54","total","Arizona",81922,81849
"689","54","male","Arizona",40640,40653
"690","54","female","Arizona",41282,41196
"691","55","total","Arizona",85305,82542
"692","55","male","Arizona",42077,40851
"693","55","female","Arizona",43228,41691
"694","56","total","Arizona",87701,86166
"695","56","male","Arizona",43144,42355
"696","56","female","Arizona",44557,43811
"697","57","total","Arizona",88323,88363
"698","57","male","Arizona",43274,43245
"699","57","female","Arizona",45049,45118
"700","58","total","Arizona",89302,89004
"701","58","male","Arizona",43746,43454
"702","58","female","Arizona",45556,45550
"703","59","total","Arizona",89433,90067
"704","59","male","Arizona",43576,43957
"705","59","female","Arizona",45857,46110
"706","60","total","Arizona",88270,90316
"707","60","male","Arizona",42877,43895
"708","60","female","Arizona",45393,46421
"709","61","total","Arizona",87128,89305
"710","61","male","Arizona",41947,43347
"711","61","female","Arizona",45181,45958
"712","62","total","Arizona",87382,88063
"713","62","male","Arizona",41794,42312
"714","62","female","Arizona",45588,45751
"715","63","total","Arizona",86869,88304
"716","63","male","Arizona",41352,42114
"717","63","female","Arizona",45517,46190
"718","64","total","Arizona",83879,87755
"719","64","male","Arizona",39739,41708
"720","64","female","Arizona",44140,46047
"721","65","total","Arizona",83306,84818
"722","65","male","Arizona",39382,40006
"723","65","female","Arizona",43924,44812
"724","66","total","Arizona",82112,84001
"725","66","male","Arizona",38518,39647
"726","66","female","Arizona",43594,44354
"727","67","total","Arizona",80027,82412
"728","67","male","Arizona",37397,38650
"729","67","female","Arizona",42630,43762
"730","68","total","Arizona",78188,80041
"731","68","male","Arizona",36521,37374
"732","68","female","Arizona",41667,42667
"733","69","total","Arizona",75932,78036
"734","69","male","Arizona",35417,36398
"735","69","female","Arizona",40515,41638
"736","70","total","Arizona",74233,75860
"737","70","male","Arizona",34759,35332
"738","70","female","Arizona",39474,40528
"739","71","total","Arizona",73849,73725
"740","71","male","Arizona",34714,34502
"741","71","female","Arizona",39135,39223
"742","72","total","Arizona",73809,73097
"743","72","male","Arizona",34871,34244
"744","72","female","Arizona",38938,38853
"745","73","total","Arizona",79451,72910
"746","73","male","Arizona",37990,34380
"747","73","female","Arizona",41461,38530
"748","74","total","Arizona",56255,78100
"749","74","male","Arizona",26463,37280
"750","74","female","Arizona",29792,40820
"751","75","total","Arizona",54387,55214
"752","75","male","Arizona",25490,25891
"753","75","female","Arizona",28897,29323
"754","76","total","Arizona",53334,53027
"755","76","male","Arizona",25115,24804
"756","76","female","Arizona",28219,28223
