"sex","region","daily","monthly","date","time_of_day","time_info"
"F","Wisconsin",1545878,1900000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Wyoming",140668,180000,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","Canada",8687359,1.1e+07,2020-05-31,"20:29:58",2020-05-31 20:29:58
"F","United States",78333999,1e+08,2020-05-31,"20:29:58",2020-05-31 20:29:58
"M","Alberta",817778,1100000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","British Columbia",858008,1200000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Manitoba",237881,330000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","New Brunswick",157623,2e+05,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Newfoundland and Labrador",109283,140000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Northwest Territories",9175,12000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Nova Scotia",185680,250000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Nunavut",8372,11000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Ontario",2344252,3400000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Prince Edward Island",29203,39000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Quebec",1811924,2400000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Saskatchewan",227896,3e+05,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Yukon",7848,10000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Alabama",959774,1300000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Alaska",156535,220000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Arizona",1263559,1800000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Arkansas",600886,810000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","California",6550271,9600000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Colorado",1080908,1500000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Connecticut",652884,910000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Delaware",166104,230000,2020-05-31,"20:31:58",2020-05-31 20:31:58
