"sex","region","daily","monthly","date","time_of_day","time_info"
"F","New Jersey",45160,49000,2020-03-08,NA,NA
"F","New Mexico",19312,22000,2020-03-08,NA,NA
"F","New York",89646,1e+05,2020-03-08,NA,NA
"F","North Carolina",87619,97000,2020-03-08,NA,NA
"F","North Dakota",8165,9100,2020-03-08,NA,NA
"F","Ohio",63094,69000,2020-03-08,NA,NA
"F","Oklahoma",27061,30000,2020-03-08,NA,NA
"F","Oregon",29166,32000,2020-03-08,NA,NA
"F","Pennsylvania",65958,73000,2020-03-08,NA,NA
"F","Rhode Island",6633,7200,2020-03-08,NA,NA
"F","South Carolina",52261,58000,2020-03-08,NA,NA
"F","South Dakota",8168,8700,2020-03-08,NA,NA
"F","Tennessee",60642,67000,2020-03-08,NA,NA
"F","Texas",229628,250000,2020-03-08,NA,NA
"F","Utah",22779,25000,2020-03-08,NA,NA
"F","Vermont",5139,5800,2020-03-08,NA,NA
"F","Virginia",72637,81000,2020-03-08,NA,NA
"F","West Virginia",14233,15000,2020-03-08,NA,NA
"F","Washington",51927,58000,2020-03-08,NA,NA
"F","Washington D. C.",17069,19000,2020-03-08,NA,NA
"F","Wisconsin",33798,37000,2020-03-08,NA,NA
"F","Wyoming",6470,7000,2020-03-08,NA,NA
"F","Canada",169563,190000,2020-03-08,NA,NA
"F","United States",1900445,2100000,2020-03-08,NA,NA
"M","Alberta",32010,36000,2020-03-09,NA,NA
"M","British Columbia",27938,32000,2020-03-09,NA,NA
"M","Manitoba",7390,8100,2020-03-09,NA,NA
"M","New Brunswick",4207,4600,2020-03-09,NA,NA
"M","Newfoundland and Labrador",4630,4800,2020-03-09,NA,NA
"M","Northwest Territories",998,1000,2020-03-09,NA,NA
"M","Nova Scotia",5972,6400,2020-03-09,NA,NA
"M","Nunavut",997,1000,2020-03-09,NA,NA
"M","Ontario",54342,61000,2020-03-09,NA,NA
"M","Prince Edward Island",1199,1200,2020-03-09,NA,NA
"M","Quebec",35166,39000,2020-03-09,NA,NA
"M","Saskatchewan",8997,9700,2020-03-09,NA,NA
"M","Yukon",994,1000,2020-03-09,NA,NA
"M","Alabama",35443,39000,2020-03-09,NA,NA
"M","Alaska",5849,7000,2020-03-09,NA,NA
"M","Arizona",52101,59000,2020-03-09,NA,NA
"M","Arkansas",22118,25000,2020-03-09,NA,NA
"M","California",163429,190000,2020-03-09,NA,NA
"M","Colorado",41435,45000,2020-03-09,NA,NA
"M","Connecticut",13623,15000,2020-03-09,NA,NA
"M","Delaware",6802,7800,2020-03-09,NA,NA
"M","Florida",175446,2e+05,2020-03-09,NA,NA
"M","Georgia",88064,1e+05,2020-03-09,NA,NA
"M","Hawaii",10841,12000,2020-03-09,NA,NA
"M","Idaho",13081,15000,2020-03-09,NA,NA
"M","Illinois",64306,72000,2020-03-09,NA,NA
"M","Indiana",36550,42000,2020-03-09,NA,NA
"M","Iowa",20487,23000,2020-03-09,NA,NA
"M","Kansas",23125,26000,2020-03-09,NA,NA
"M","Kentucky",27103,30000,2020-03-09,NA,NA
"M","Louisiana",35709,40000,2020-03-09,NA,NA
"M","Maine",6578,7200,2020-03-09,NA,NA
"M","Maryland",35681,40000,2020-03-09,NA,NA
"M","Massachusetts",29472,33000,2020-03-09,NA,NA
"M","Michigan",49970,54000,2020-03-09,NA,NA
"M","Minnesota",30952,34000,2020-03-09,NA,NA
"M","Mississippi",22665,26000,2020-03-09,NA,NA
"M","Missouri",41639,46000,2020-03-09,NA,NA
"M","Montana",8123,9200,2020-03-09,NA,NA
"M","Nebraska",13766,15000,2020-03-09,NA,NA
"M","Nevada",31895,37000,2020-03-09,NA,NA
"M","New Hampshire",6541,7500,2020-03-09,NA,NA
"M","New Jersey",36277,42000,2020-03-09,NA,NA
"M","New Mexico",20108,23000,2020-03-09,NA,NA
"M","New York",74753,85000,2020-03-09,NA,NA
"M","North Carolina",74503,82000,2020-03-09,NA,NA
"M","North Dakota",10103,11000,2020-03-09,NA,NA
"M","Ohio",55039,61000,2020-03-09,NA,NA
"M","Oklahoma",26063,29000,2020-03-09,NA,NA
"M","Oregon",22847,26000,2020-03-09,NA,NA
"M","Pennsylvania",56756,63000,2020-03-09,NA,NA
"M","Rhode Island",5208,5600,2020-03-09,NA,NA
"M","South Carolina",42899,47000,2020-03-09,NA,NA
"M","South Dakota",7498,7900,2020-03-09,NA,NA
"M","Tennessee",50005,57000,2020-03-09,NA,NA
"M","Texas",225308,250000,2020-03-09,NA,NA
"M","Utah",22576,25000,2020-03-09,NA,NA
"M","Vermont",3609,4400,2020-03-09,NA,NA
"M","Virginia",61821,71000,2020-03-09,NA,NA
"M","West Virginia",11816,13000,2020-03-09,NA,NA
"M","Washington",44053,49000,2020-03-09,NA,NA
"M","Washington D. C.",15325,17000,2020-03-09,NA,NA
"M","Wisconsin",30278,32000,2020-03-09,NA,NA
"M","Wyoming",7527,8000,2020-03-09,NA,NA
"M","Canada",179959,2e+05,2020-03-09,NA,NA
"M","United States",1694990,1900000,2020-03-09,NA,NA
"F","Alberta",28676,31000,2020-03-09,NA,NA
"F","British Columbia",29704,32000,2020-03-09,NA,NA
"F","Manitoba",7300,7900,2020-03-09,NA,NA
"F","New Brunswick",4215,4900,2020-03-09,NA,NA
"F","Newfoundland and Labrador",5291,5500,2020-03-09,NA,NA
"F","Northwest Territories",998,1000,2020-03-09,NA,NA
"F","Nova Scotia",6903,7500,2020-03-09,NA,NA
"F","Nunavut",997,1000,2020-03-09,NA,NA
"F","Ontario",57782,64000,2020-03-09,NA,NA
"F","Prince Edward Island",1125,1300,2020-03-09,NA,NA
"F","Quebec",31571,35000,2020-03-09,NA,NA
"F","Saskatchewan",8874,9900,2020-03-09,NA,NA
"F","Yukon",996,1000,2020-03-09,NA,NA
"F","Alabama",38569,43000,2020-03-09,NA,NA
"F","Alaska",6080,6700,2020-03-09,NA,NA
"F","Arizona",65143,74000,2020-03-09,NA,NA
"F","Arkansas",24341,27000,2020-03-09,NA,NA
"F","California",185019,210000,2020-03-09,NA,NA
"F","Colorado",44098,49000,2020-03-09,NA,NA
"F","Connecticut",17136,19000,2020-03-09,NA,NA
"F","Delaware",8839,10000,2020-03-09,NA,NA
"F","Florida",221894,250000,2020-03-09,NA,NA
"F","Georgia",107654,120000,2020-03-09,NA,NA
"F","Hawaii",12168,14000,2020-03-09,NA,NA
"F","Idaho",15177,17000,2020-03-09,NA,NA
