date,sex,region,age_gp,monthly_trav,monthly_pop,month_yr,obs_rate,orig_date,loess_rate,loess_se
2020-06-01,M,Ohio,30-50,28000,1200000,2020-06,0.023333333333333334,2020-06-15,0.023418861342128512,0.0010698542372474537
2020-06-01,M,Ohio,50-65,20000,950000,2020-06,0.021052631578947368,2020-06-15,0.021096762720236886,7.29696439330397e-4
2020-06-01,M,Oklahoma,13-29,8000,330000,2020-06,0.024242424242424242,2020-06-15,0.02433487342267809,4.785813761709265e-4
2020-06-01,M,Oklahoma,30-50,14000,460000,2020-06,0.030434782608695653,2020-06-15,0.03066635068945217,0.0011201208890388398
2020-06-01,M,Oklahoma,50-65,8000,330000,2020-06,0.024242424242424242,2020-06-15,0.02430268557749039,6.387213467313775e-4
2020-06-01,M,Oregon,13-29,6400,280000,2020-06,0.022857142857142857,2020-06-15,0.023105941801233723,3.6405946333479324e-4
2020-06-01,M,Oregon,30-50,11000,450000,2020-06,0.024444444444444446,2020-06-15,0.024609035784186682,8.234091193729953e-4
2020-06-01,M,Oregon,50-65,8700,330000,2020-06,0.026363636363636363,2020-06-15,0.026463853112453424,6.035847510067295e-4
2020-06-01,M,Pennsylvania,13-29,16000,830000,2020-06,0.01927710843373494,2020-06-15,0.01925690117628672,3.880307672818782e-4
2020-06-01,M,Pennsylvania,30-50,28000,1300000,2020-06,0.021538461538461538,2020-06-15,0.021716406216382513,7.321880368186619e-4
2020-06-01,M,Pennsylvania,50-65,20000,1000000,2020-06,0.02,2020-06-15,0.019965198743849263,8.586571265994532e-4
2020-06-01,M,Rhode Island,13-29,1500,79000,2020-06,0.0189873417721519,2020-06-15,0.019511528738294585,0.0010030774641329933
2020-06-01,M,Rhode Island,30-50,2800,110000,2020-06,0.025454545454545455,2020-06-15,0.025367743747164818,3.8578647716216974e-4
2020-06-01,M,Rhode Island,50-65,1900,89000,2020-06,0.021348314606741574,2020-06-15,0.02165284560400433,6.137230683613908e-4
2020-06-01,M,South Carolina,13-29,13000,370000,2020-06,0.03513513513513514,2020-06-15,0.0355527947191528,8.371034098018785e-4
2020-06-01,M,South Carolina,30-50,21000,540000,2020-06,0.03888888888888889,2020-06-15,0.039556170877481436,0.0011427310222957639
2020-06-01,M,South Carolina,50-65,16000,410000,2020-06,0.03902439024390244,2020-06-15,0.03912520331319175,0.001334620559139585
2020-06-01,M,South Dakota,13-29,2800,73000,2020-06,0.038356164383561646,2020-06-15,0.03900503270674474,9.20330816799045e-4
2020-06-01,M,South Dakota,30-50,3900,97000,2020-06,0.04020618556701031,2020-06-15,0.0401306418790658,0.0026065539167931975
2020-06-01,M,South Dakota,50-65,2600,68000,2020-06,0.03823529411764706,2020-06-15,0.03696604754458119,0.004355963420625353
2020-06-01,M,Tennessee,13-29,15000,550000,2020-06,0.02727272727272727,2020-06-15,0.02734251300674119,0.001082962911014678
2020-06-01,M,Tennessee,30-50,25000,770000,2020-06,0.032467532467532464,2020-06-15,0.032784264054711264,8.92929023460577e-4
2020-06-01,M,Tennessee,50-65,17000,560000,2020-06,0.030357142857142857,2020-06-15,0.030844093593155205,6.892268404174911e-4
2020-06-01,M,Texas,13-29,65000,2500000,2020-06,0.026,2020-06-15,0.0259069886248627,7.953600954385459e-4
2020-06-01,M,Texas,30-50,110000,3600000,2020-06,0.030555555555555555,2020-06-15,0.030491224684083787,0.0012574498964663607
2020-06-01,M,Texas,50-65,60000,2200000,2020-06,0.02727272727272727,2020-06-15,0.027233880663440894,0.0010469616270626391
2020-06-01,M,Utah,13-29,8300,280000,2020-06,0.029642857142857144,2020-06-15,0.029798739858167708,7.447658993248243e-4
2020-06-01,M,Utah,30-50,11000,350000,2020-06,0.03142857142857143,2020-06-15,0.03132913926814072,0.0010497049616054281
2020-06-01,M,Utah,50-65,5900,200000,2020-06,0.0295,2020-06-15,0.02950764539292221,0.0010094383017605977
2020-06-01,M,Vermont,13-29,1100,43000,2020-06,0.02558139534883721,2020-06-15,0.0257006604405219,7.15076946244796e-4
2020-06-01,M,Vermont,30-50,1500,61000,2020-06,0.02459016393442623,2020-06-15,0.02536192969665099,0.0017950908200469256
2020-06-01,M,Vermont,50-65,1500,55000,2020-06,0.02727272727272727,2020-06-15,0.028211372661442642,0.0016980513135890635
2020-06-01,M,Virginia,13-29,19000,620000,2020-06,0.03064516129032258,2020-06-15,0.030760323076096403,8.447594261691009e-4
2020-06-01,M,Virginia,30-50,32000,930000,2020-06,0.034408602150537634,2020-06-15,0.0344152211315639,8.865548485560515e-4
2020-06-01,M,Virginia,50-65,20000,650000,2020-06,0.03076923076923077,2020-06-15,0.030683573098447454,6.174447210605587e-4
2020-06-01,M,West Virginia,13-29,3400,130000,2020-06,0.026153846153846153,2020-06-15,0.02627176530371809,5.133166363732826e-4
2020-06-01,M,West Virginia,30-50,5900,190000,2020-06,0.03105263157894737,2020-06-15,0.031345715315256054,0.001040688268493927
2020-06-01,M,West Virginia,50-65,4200,160000,2020-06,0.02625,2020-06-15,0.026512140145175955,0.0011196015242354914
2020-06-01,M,Washington,13-29,14000,540000,2020-06,0.025925925925925925,2020-06-15,0.02590185919983814,9.16948481493782e-4
2020-06-01,M,Washington,30-50,22000,840000,2020-06,0.02619047619047619,2020-06-15,0.026053093018782805,5.504098978074621e-4
2020-06-01,M,Washington,50-65,14000,570000,2020-06,0.02456140350877193,2020-06-15,0.02456081818742926,0.0010632200623672929
2020-06-01,M,Washington D. C.,13-29,2900,68000,2020-06,0.04264705882352941,2020-06-15,0.04251436507878572,0.0019996563149004406
2020-06-01,M,Washington D. C.,30-50,5000,150000,2020-06,0.03333333333333333,2020-06-15,0.03336324144187881,0.0014161168037447856
2020-06-01,M,Washington D. C.,50-65,1800,63000,2020-06,0.02857142857142857,2020-06-15,0.028942623833144197,0.0017640431631931277
2020-06-01,M,Wisconsin,13-29,9500,430000,2020-06,0.022093023255813953,2020-06-15,0.02243555323906482,7.954445925991584e-4
2020-06-01,M,Wisconsin,30-50,15000,610000,2020-06,0.02459016393442623,2020-06-15,0.024462240677928283,9.825903986756977e-4
2020-06-01,M,Wisconsin,50-65,11000,450000,2020-06,0.024444444444444446,2020-06-15,0.024822746366951615,0.0011778152962726527
2020-06-01,M,Wyoming,13-29,2500,46000,2020-06,0.05434782608695652,2020-06-15,0.054971431825362405,0.002044245821596542
2020-06-01,M,Wyoming,30-50,4100,65000,2020-06,0.06307692307692307,2020-06-15,0.06423041337158868,0.0029143504787303965
2020-06-01,M,Wyoming,50-65,2600,47000,2020-06,0.05531914893617021,2020-06-15,0.05525038224039562,0.0030896516032514793
2020-06-01,F,Alberta,13-29,8900,340000,2020-06,0.026176470588235294,2020-06-15,0.026381122680364917,5.383151695945932e-4
2020-06-01,F,Alberta,30-50,13000,590000,2020-06,0.022033898305084745,2020-06-15,0.022060404148939214,1.560523938654938e-4
2020-06-01,F,Alberta,50-65,9600,420000,2020-06,0.022857142857142857,2020-06-15,0.02283190868752807,4.797027194971771e-4
2020-06-01,F,British Columbia,13-29,9600,380000,2020-06,0.02526315789473684,2020-06-15,0.025491662640390277,3.22421570200203e-4
2020-06-01,F,British Columbia,30-50,12000,610000,2020-06,0.019672131147540985,2020-06-15,0.019743811109426017,3.069109742784807e-4
2020-06-01,F,British Columbia,50-65,12000,530000,2020-06,0.022641509433962263,2020-06-15,0.022570082041566946,0.00043605730928523827
2020-06-01,F,Manitoba,13-29,2400,110000,2020-06,0.02181818181818182,2020-06-15,0.021898497456050013,3.640289954354397e-4
2020-06-01,F,Manitoba,30-50,3200,160000,2020-06,0.02,2020-06-15,0.02006189654971751,2.778130544766e-4
2020-06-01,F,Manitoba,50-65,2700,130000,2020-06,0.02076923076923077,2020-06-15,0.020961221726485613,3.003684803862372e-4
2020-06-01,F,New Brunswick,13-29,1200,59000,2020-06,0.020338983050847456,2020-06-15,0.020531461821574816,6.657076642598024e-4
2020-06-01,F,New Brunswick,30-50,1900,98000,2020-06,0.019387755102040816,2020-06-15,0.01937457912540777,6.116776552255081e-4
2020-06-01,F,New Brunswick,50-65,2100,110000,2020-06,0.019090909090909092,2020-06-15,0.019286406511305178,6.627744718264063e-4
2020-06-01,F,Newfoundland and Labrador,13-29,1200,39000,2020-06,0.03076923076923077,2020-06-15,0.030717613945291874,0.001100303908586971
2020-06-01,F,Newfoundland and Labrador,30-50,1900,69000,2020-06,0.02753623188405797,2020-06-15,0.02778372214625129,0.0012243950174170646
2020-06-01,F,Newfoundland and Labrador,50-65,2600,84000,2020-06,0.030952380952380953,2020-06-15,0.030744345885391787,0.0011214796586914472
2020-06-01,F,Northwest Territories,13-29,1000,4300,2020-06,0.23255813953488372,2020-06-15,0.23238950078168658,0.003919975705428486
2020-06-01,F,Northwest Territories,30-50,1000,6500,2020-06,0.15384615384615385,2020-06-15,0.15430875300073954,7.61539627418086e-4
2020-06-01,F,Northwest Territories,50-65,1000,4100,2020-06,0.24390243902439024,2020-06-15,0.24427262937029376,0.002362301078922896
2020-06-01,F,Nova Scotia,13-29,1800,76000,2020-06,0.02368421052631579,2020-06-15,0.023871216960116168,5.769624105874372e-4
